S.No.,Province,Name of Town
915,Central Province,Mahalakotuwa
916,Central Province,Mahalevakanda
917,Central Province,Mahanurora
918,Central Province,Mahanuvara
919,Central Province,Mahanuwara
920,Central Province,Mahara
921,Central Province,Mahawala
922,Central Province,Mahawatta
923,Central Province,Mahawela
924,Central Province,WattegamMahiyangana
925,Central Province,Mailapitiya Lower
926,Central Province,Mailapitiya Upper
927,Central Province,Maiyangana
928,Central Province,Makeliyawala
929,Central Province,Makempe
930,Central Province,Makuldeniya
931,Central Province,Makulussa Colony
932,Central Province,Malagammana
933,Central Province,Malagekumbura
934,Central Province,Malanwatta
935,Central Province,Maldeniya
936,Central Province,Malgammana
937,Central Province,Malgandeniya
938,Central Province,Malhewa
939,Central Province,Maligatenna
940,Central Province,Maliyadda
941,Central Province,Malulla
942,Central Province,Malwanahinna
943,Central Province,Mampitiya
944,Central Province,Manaboda
945,Central Province,Manahinda
946,Central Province,Manakola
947,Central Province,Mandandawela
948,Central Province,Mandaran Newara
949,Central Province,Mangalagama
950,Central Province,Mangoda
951,Central Province,Manilwala
952,Central Province,Mapanawatura
953,Central Province,Mapanawatura
954,Central Province,Maradurawala
955,Central Province,Maraka
956,Central Province,Marakkalagama
957,Central Province,Marassana
958,Central Province,Maratugoda
959,Central Province,Maratuwela
960,Central Province,Marawanagoda
961,Central Province,Martuwela
962,Central Province,Maruddana
963,Central Province,Marukona
964,Central Province,Maskeliya
965,Central Province,Maswela
966,Central Province,Matalapitiya
967,Central Province,Matale
968,Central Province,Matale Polwatta
969,Central Province,Matale Town
970,Central Province,Matgamuwa
971,Central Province,Mathgamuwa
972,Central Province,Maturata
973,Central Province,Mawatagama
974,Central Province,Mawatapola
975,Central Province,Mawatupola
976,Central Province,Mawatupola
977,Central Province,Mawatura
978,Central Province,Mawela
979,Central Province,Mawilmada
980,Central Province,Meda-Ela
981,Central Province,Medabedda
982,Central Province,Medagahawatura
983,Central Province,Medagama
984,Central Province,Medagammedda
985,Central Province,Medagoda
986,Central Province,Medakanda
987,Central Province,Medakele
988,Central Province,Medakumbura
989,Central Province,Medapihilla
990,Central Province,Medapititenna
991,Central Province,Medapitiya
992,Central Province,Medawala
993,Central Province,Meddegoda
994,Central Province,Meddehinna
995,Central Province,Medilla
996,Central Province,Medilletenna
997,Central Province,Mediriya
998,Central Province,Mediwaka
999,Central Province,Mediyapola
1000,Central Province,Meepitiya
1001,Central Province,Mellagola
1002,Central Province,Menikbowa
1003,Central Province,Menikdiwela
1004,Central Province,Menikhinna
1005,Central Province,Menikhinna Town
1006,Central Province,Metagama
1007,Central Province,Methagama
1008,Central Province,Metibembiya
1009,Central Province,Metibokka
1010,Central Province,Metideniya
1011,Central Province,Metihakka
1012,Central Province,Metiwalatenna
1013,Central Province,Mideniya
1014,Central Province,Migahahena
1015,Central Province,Migammana
1016,Central Province,Migammana Ihalagammedda
1017,Central Province,Migammana Mahagammedda
1018,Central Province,Migammana Pallegama
1019,Central Province,Migaskotuwa
1020,Central Province,Millapitiya
1021,Central Province,Millawana
1022,Central Province,Millawana Ihalagama
1023,Central Province,Millawana Pahalagama
1024,Central Province,Mimura
1025,Central Province,Mimure
1026,Central Province,Minigamuwa
1027,Central Province,Minipe
1028,Central Province,Minuwangamuwa
1029,Central Province,Mipitiya
1030,Central Province,Mirahampe
1031,Central Province,Mirissala
1032,Central Province,Miriyakada
1033,Central Province,Miruppa
1034,Central Province,Mitalawa
1035,Central Province,Miwaladeniya
1036,Central Province,Miwatura
1037,Central Province,Miyanagolla
1038,Central Province,Miyanakolamada
1039,Central Province,Moladanda
1040,Central Province,Molagoda
1041,Central Province,Monaruwila
1042,Central Province,Moragahamula
1043,Central Province,Moragahamulla
1044,Central Province,Moragahaulpota
1045,Central Province,Moragaspitiya
1046,Central Province,Moragolla
1047,Central Province,Moragolleyaya
1048,Central Province,Morahenegama
1049,Central Province,Morape
1050,Central Province,Morape Pallegammedda
1051,Central Province,Morape Udagammedda
1052,Central Province,Motamure
1053,Central Province,Mottuwela
1054,Central Province,Nabadagahawatta
1055,Central Province,Nagahapola
1056,Central Province,Nagahatenna
1057,Central Province,Nagasena
1058,Central Province,Nagolla (7°27'N 80°37'E)
1059,Central Province,Nagolla (7°22'N 80°52'E)
1060,Central Province,Nalanda (7°40'N 80°38'E)
1061,Central Province,Nalanda (7°31'N 80°34'E)
1062,Central Province,Namadagala
1063,Central Province,Nanu Oya
1064,Central Province,Nanumure
1065,Central Province,Napana Disaneggammedda
1066,Central Province,Napana Disanekgammedda
1067,Central Province,Napana Hunuangegammedda
1068,Central Province,Napatawela
1069,Central Province,Narandanda
1070,Central Province,Narangolla
1071,Central Province,Narangomuwa
1072,Central Province,Naranpanawa
1073,Central Province,Naranpanawa Dembatagolla
1074,Central Province,Naranpanawa Disaneggammedda
1075,Central Province,Naranpanawa Egodagammedda
1076,Central Province,Naranpanawa Kandegammedda
1077,Central Province,Naranpanawa Karagastenna
1078,Central Province,Naranpanawe Dembatagolla
1079,Central Province,Naranpanawe Disanekgammedda
1080,Central Province,Naranpanawe Egodagammedda
1081,Central Province,Naranpanawe Kandegammedda
1082,Central Province,Naranpanawe Karagastenna
1083,Central Province,Narantalawa
1084,Central Province,Naranwala (7°22'N 80°30'E)
1085,Central Province,Naranwala (7°13'N 80°34'E)
1086,Central Province,Naranwita
1087,Central Province,Nattarampota
1088,Central Province,Naula
1089,Central Province,Navangama
1090,Central Province,Nawalapitiya
1091,Central Province,Nawangama
1092,Central Province,Nawaragoda
1093,Central Province,Nawayalatenna
1094,Central Province,Nawayalatenna Bazaar
1095,Central Province,Nawela
1096,Central Province,Nayakumbura
1097,Central Province,Nehiniwala
1098,Central Province,Nelugolla
1099,Central Province,Neluwakanda
1100,Central Province,Nikagolla
1101,Central Province,Nikahetiya
1102,Central Province,Nikatenna (7°19'N 80°28'E)
1103,Central Province,Nikatenna (7°22'N 80°31'E)
1104,Central Province,Nikatenna (7°19'N 80°37'E)
1105,Central Province,Nikawatawana
1106,Central Province,Nikawehera
1107,Central Province,Nikawella
1108,Central Province,Nilagama
1109,Central Province,Nilawala
1110,Central Province,Nildandahinna
1111,Central Province,Nilgala
1112,Central Province,Nillambe
1113,Central Province,Nira-ella
1114,Central Province,Nittawela
1115,Central Province,Nittultenna
1116,Central Province,Nituletenna
1117,Central Province,Nitulgahakotuwa
1118,Central Province,Niyambepola
1119,Central Province,Niyangama
1120,Central Province,Niyangandara
1121,Central Province,Niyangandora
1122,Central Province,Niyangoda
1123,Central Province,Niyarepola
1124,Central Province,Norton
1125,Central Province,Norton Bridge
1126,Central Province,Norwood
1127,Central Province,Norwood Bazaar
1128,Central Province,Nugahapola
1129,Central Province,Nugaliyadda
1130,Central Province,Nugapitiya
1131,Central Province,Nugatenna
1132,Central Province,Nugatota
1133,Central Province,Nugawela
1134,Central Province,Nugawelagammedda
1135,Central Province,Nugetenna
1136,Central Province,Nuwara Dodanwala
1137,Central Province,Nuwara Dodanwela
1138,Central Province,Nuwara Eliya
1139,Central Province,Nuwara Eliya Town
1140,Central Province,Nuwari-Eliya
1141,Central Province,Oggomuwa
1142,Central Province,Ogodapola
1143,Central Province,Olaganwatta
1144,Central Province,Old Peradeniya
1145,Central Province,Oligama
1146,Central Province,Oluwawatta
1147,Central Province,Opalagala
1148,Central Province,Opalgala
1149,Central Province,Opalgalawatta
1150,Central Province,Opalla
1151,Central Province,Otagama
1152,Central Province,Otalawa
1153,Central Province,Ovisa
1154,Central Province,Owala (7°16'N 80°34'E)
1155,Central Province,Owala (7°31'N 80°39'E)
1156,Central Province,Owalapolwatta
1157,Central Province,Owisa
1158,Central Province,Oyatenna
1159,Central Province,Padeniya
1160,Central Province,Padiwitagama
1161,Central Province,Padiwitawela
1162,Central Province,Padiyapelella
1163,Central Province,Paduangoda
1164,Central Province,Padupola
1165,Central Province,Paduwangoda
1166,Central Province,Pahaladiggala
1167,Central Province,Pahalagammedda
1168,Central Province,Pahalakande Bavulana
1169,Central Province,Pahalawela
1170,Central Province,Pahalawewa
1171,Central Province,Paladoraella
1172,Central Province,Palagolla
1173,Central Province,Palapatwela
1174,Central Province,Palawa
1175,Central Province,Paldeniya
1176,Central Province,Palipana
1177,Central Province,Palkade
1178,Central Province,Palkumbura
1179,Central Province,Pallama
1180,Central Province,Palle Aludeniya
1181,Central Province,Palle Deltota
1182,Central Province,Palle Galadebokka
1183,Central Province,Palle Hapuwida
1184,Central Province,Palle Henepola
1185,Central Province,Palle Ihagama
1186,Central Province,Palle Mailapitiya
1187,Central Province,Palle Makuruppe
1188,Central Province,Palle Talawinna
1189,Central Province,Palle Talawinna Udagammedda
1190,Central Province,Palle Weragama
1191,Central Province,Palleaswedduma
1192,Central Province,Pallegama
1193,Central Province,Pallegama Ihalagammedda
1194,Central Province,Pallegama Pahalagammedda
1195,Central Province,Pallegammedda
1196,Central Province,Pallehaduwa
1197,Central Province,Pallehena
1198,Central Province,Pallekanda
1199,Central Province,Pallekele Kadawidiya
1200,Central Province,Pallemaoya
1201,Central Province,Pallepola
1202,Central Province,Palletenna
1203,Central Province,Pallewatta
1204,Central Province,Pallewela
1205,Central Province,Palleyaya
1206,Central Province,Palu Rotawewa
1207,Central Province,Palugama
1208,Central Province,Palukopiwatta
1209,Central Province,Pamunudeniya
1210,Central Province,Pamunuwa
1211,Central Province,Panabokke
1212,Central Province,Panangammana
1213,Central Province,Pananwala
1214,Central Province,Panatale
1215,Central Province,Panawelulla
1216,Central Province,Pangala
1217,Central Province,Pangollamada
1218,Central Province,Pannagama
1219,Central Province,Pannala
1220,Central Province,Pannala I
1221,Central Province,Pannala II
1222,Central Province,Pannampitiya
1223,Central Province,Pannanpitiya
1224,Central Province,Panwatta
1225,Central Province,Panwila
1226,Central Province,Panwila Town
1227,Central Province,Panwilatenna
1228,Central Province,Paradeka
1229,Central Province,Paragahamada
1230,Central Province,Paragahawela
1231,Central Province,Paragoda
1232,Central Province,Parakatawella
1233,Central Province,Paranagama
1234,Central Province,Paranagama Hapukotuwegammedda
1235,Central Province,Paranagama Mandandawela
1236,Central Province,Patkolagolla
1237,Central Province,Pattitalawa
1238,Central Province,Pattiwela
1239,Central Province,Pattiyamulla
1240,Central Province,Pattunupitiya
1241,Central Province,Payingomuwa
1242,Central Province,Pelawa
1243,Central Province,Pelena
1244,Central Province,Pelenegama
1245,Central Province,Pellepitiya
1246,Central Province,Penahetipola
1247,Central Province,Penalaboda
1248,Central Province,Penideniya
1249,Central Province,Peradeniya
1250,Central Province,Peradenya
1251,Central Province,Petiyagoda
1252,Central Province,Piharallegama
1253,Central Province,Pilapitiya
1254,Central Province,Pilawala
1255,Central Province,Piligalla
1256,Central Province,Piligama
1257,Central Province,Pilihudugolla
1258,Central Province,Pilihudugolla Ihalagama
1259,Central Province,Pilihudugolla Pahalagama
1260,Central Province,Piliwela
1261,Central Province,Pinnalandawatta
1262,Central Province,Pinnawala
1263,Central Province,Pitakanda
1264,Central Province,Pitawala
1265,Central Province,Pitiyagedera
1266,Central Province,Pitunugama
1267,Central Province,Poddalgoda
1268,Central Province,Poddalgoda Megodagama
1269,Central Province,Pohaliyadda
1270,Central Province,Poholiadda
1271,Central Province,Pohoranwewayaya
1272,Central Province,Pokunuwatta
1273,Central Province,Polgaha-anga
1274,Central Province,Polgahange
1275,Central Province,Polgolla
1276,Central Province,Polmalagama
1277,Central Province,Polommana
1278,Central Province,Polpitiya
1279,Central Province,Polwatta
1280,Central Province,Polwatta Colony
1281,Central Province,Polwatte Ihalagama
1282,Central Province,Polwattekanda
1283,Central Province,Poppitiya
1284,Central Province,Potawa
1285,Central Province,Pottallinda
1286,Central Province,Pottatawela
1287,Central Province,Pottepitiya
1288,Central Province,Pottila
1289,Central Province,Pubbarawela
1290,Central Province,Pubbiliya
1291,Central Province,Puliyadda
1292,Central Province,Pulleniwatta
1293,Central Province,Punchlrambadagalla
1294,Central Province,Pundaloya
1295,Central Province,Pundaluoya
1296,Central Province,Punduloya
1297,Central Province,Pupuressa
1298,Central Province,Puraamkumbura
1299,Central Province,Purankumbura
1300,Central Province,Purijjala
1301,Central Province,Pussalagolla
1302,Central Province,Pussalakandura
1303,Central Province,Pussalamankada
1304,Central Province,Pusse-Ela
1305,Central Province,Pussella
1306,Central Province,Pussellagolla
1307,Central Province,Pussellawa
1308,Central Province,Pusulpitiya
1309,Central Province,Puwakgahagala
1310,Central Province,Puwakpitiya
1311,Central Province,Rabbegamuwa
1312,Central Province,Radagoda
1313,Central Province,Radewala
1314,Central Province,Radunnewela
1315,Central Province,Ragala
1316,Central Province,Rahatungoda
1317,Central Province,Raitalawa
1318,Central Province,Raitalawela
1319,Central Province,Rambawela
1320,Central Province,Ramboda
1321,Central Province,Rambuke
1322,Central Province,Rambukella
1323,Central Province,Rambukewela
1324,Central Province,Rambukkewela
1325,Central Province,Rambukkoluwa
1326,Central Province,Rambukpitiya
1327,Central Province,Rambukpota
1328,Central Province,Rambukpota-anga
1329,Central Province,Rambukwella
1330,Central Province,Rammalaka
1331,Central Province,Rammalakandura
1332,Central Province,Ranamure
1333,Central Province,Ranatalawa
1334,Central Province,Ranawa
1335,Central Province,Ranawana
1336,Central Province,Rangala
1337,Central Province,Rangama
1338,Central Province,Rangomuwa
1339,Central Province,Rankiriyagolla
1340,Central Province,Rannantalawa
1341,Central Province,Ranwantalawa
1342,Central Province,Ranwediyawa
1343,Central Province,Rasingolla
1344,Central Province,Rassagoda
1345,Central Province,Ratalawewa
1346,Central Province,Ratmalakaduwa
1347,Central Province,Ratmeewala
1348,Central Province,Ratmiwala
1349,Central Province,Ratninda
1350,Central Province,Ratninda
1351,Central Province,Rattota
1352,Central Province,Ratwatta
1353,Central Province,Rawanagoda
1354,Central Province,Rekatwala
1355,Central Province,Rekitipe
1356,Central Province,Retiyagama
1357,Central Province,Ridiella
1358,Central Province,Rikillagaskada
1359,Central Province,Rilamulla
1360,Central Province,Rogersongama
1361,Central Province,Rottipehilla
1362,Central Province,Rozella
1363,Central Province,Rupaha
1364,Central Province,Rusigama
1365,Central Province,Samarakonehena
1366,Central Province,Sangilipalam
1367,Central Province,Sangilipalama
1368,Central Province,Selagama
1369,Central Province,Selagama Colony
1370,Central Province,Serudandapola
1371,Central Province,Serugolla
1372,Central Province,Singhapitiya
1373,Central Province,Sinhapitiya
1374,Central Province,Sirangahawatta
1375,Central Province,Sirimalwatta
1376,Central Province,Sita Eliya
1377,Central Province,Sivurupitiya
1378,Central Province,Siyambalagahawela
1379,Central Province,Siyambalagastenna
1380,Central Province,Siyambalagoda
1381,Central Province,Siyambalapitiya
1382,Central Province,Siyambalawewa
1383,Central Province,Suduhakurugama
1384,Central Province,Suriyagoda
1385,Central Province,Tahalpitiya
1386,Central Province,Talagasyaya
1387,Central Province,Talagoda
1388,Central Province,Talagune
1389,Central Province,Talakiriyagama
1390,Central Province,Talakiriyagma
1391,Central Province,Talakiriyawa
1392,Central Province,Talakolawela
1393,Central Province,Talapelellagoda
1394,Central Province,Talatuoya
1395,Central Province,Talawakele
1396,Central Province,Talawatta
1397,Central Province,Talawatura
1398,Central Province,Talgahagoda
1399,Central Province,Talwatta (7°17'N 80°39'E)
1400,Central Province,Talwatta (7°16'N 80°40'E)
1401,Central Province,Tammitiya
1402,Central Province,Taralanda
1403,Central Province,Tawalantenna (7°4'N 80°40'E)
1404,Central Province,Tawalantenna (7°13'N 80°47'E)
1405,Central Province,Telambugahawatta
1406,Central Province,Teldeniya
1407,Central Province,Teldeniya Town
1408,Central Province,Teldiniya
1409,Central Province,Telihigala
1410,Central Province,Telihunna
1411,Central Province,Tembiligala Pallegama
1412,Central Province,Tembiligala Udagama
1413,Central Province,Tenna
1414,Central Province,Tennehena
1415,Central Province,Tennehenwala
1416,Central Province,Tennekumbura
1417,Central Province,Tepugolla
1418,Central Province,Teripaha
1419,Central Province,Teripehagama
1420,Central Province,Thine Kanuwa
1421,Central Province,Thinniyagala
1422,Central Province,Thumbara
1423,Central Province,Tibbotugoda
1424,Central Province,Tibbotuwawa
1425,Central Province,Tientsin
1426,Central Province,Tillicoultry
1427,Central Province,Tinipitigama
1428,Central Province,Tiniyagala
1429,Central Province,Tirappuwa
1430,Central Province,Tismada
1431,Central Province,Tismoda
1432,Central Province,Tispane
1433,Central Province,Tittapajjala
1434,Central Province,Tiyambara-ambe
1435,Central Province,Torapitiya
1436,Central Province,Tumpelawaka
1437,Central Province,Tumpelawake
1438,Central Province,Tundeniya
1439,Central Province,Tunhitiyawa
1440,Central Province,Tunoathliyadda
1441,Central Province,Uda Aludeniya
1442,Central Province,Uda Aramba
1443,Central Province,Udadumbara
1444,Central Province,Uda Galadebokke
1445,Central Province,Uda Hapuwida
1446,Central Province,Uda Henepola
1447,Central Province,Uda Iluka
1448,Central Province,Uda Madapota
1449,Central Province,Uda Mailapitiya
1450,Central Province,Uda Makuruppe
1451,Central Province,Uda Pussellawa
1452,Central Province,Uda Pussellawa Estate
1453,Central Province,Uda Talawinna
1454,Central Province,Uda Talawinna Megodagammedda
1455,Central Province,Uda Talawinnamadige
1456,Central Province,Uda Weragama
1457,Central Province,Udabowala
1458,Central Province,Udagaladebokka
1459,Central Province,Udagalauda
1460,Central Province,Udagama
1461,Central Province,Udagama Pallegama
1462,Central Province,Udagammedda
1463,Central Province,Udahaduwa
1464,Central Province,Udahentenna
1465,Central Province,Udakottamulla
1466,Central Province,Udakumbura
1467,Central Province,Udalugama
1468,Central Province,Udalugaputenna
1469,Central Province,Udalumada
1470,Central Province,Udamadura
1471,Central Province,Udamaluwa
1472,Central Province,Udamulla
1473,Central Province,Udangomuwa
1474,Central Province,Udapadiyapelella
1475,Central Province,Udapitawela
1476,Central Province,Udatenna
1477,Central Province,Udattawa
1478,Central Province,Udawatta
1479,Central Province,Udawela
1480,Central Province,Udispattuwa
1481,Central Province,Uda owita
1482,Central Province,Udu Nuwara and Yatinuwara
1483,Central Province,Ududaha
1484,Central Province,Ududeniya
1485,Central Province,Ududeniya Madige
1486,Central Province,Ududeniya Sinhalagama
1487,Central Province,Udugalpitiye Kuppayama
1488,Central Province,Udugama
1489,Central Province,Udugoda
1490,Central Province,Udumulla
1491,Central Province,Udupihilla
1492,Central Province,Udurawana
1493,Central Province,Udurawana Megodagammedda
1494,Central Province,Uduwa
1495,Central Province,Uduwawala
1496,Central Province,Uduwela Pallegama
1497,Central Province,Uduwela Udagama
1498,Central Province,Uduwella
1499,Central Province,Uduwelwala
1500,Central Province,Uduwerella
1501,Central Province,Uggahakumbura
1502,Central Province,Uguresapitiya
1503,Central Province,Uguressapitiya
1504,Central Province,Ukutule
1505,Central Province,Ukuwala
1506,Central Province,Ukuwela
1507,Central Province,Ulakkonde
1508,Central Province,Ulandupitiya
1509,Central Province,Ulapane
1510,Central Province,Ullandupitiya
1511,Central Province,Ullekumbura
1512,Central Province,Ulpotagama
1513,Central Province,Ulpotagama Iluka
1514,Central Province,Ulpotapitiya
1515,Central Province,Unagolla
1516,Central Province,Unambuwa
1517,Central Province,Unantenna Pallegammedda
1518,Central Province,Unantenna Pallegammedde
1519,Central Province,Unapandureyaya
1520,Central Province,Unaweruwa
1521,Central Province,Upcot
1522,Central Province,Uradeniya
1523,Central Province,Urapola
1524,Central Province,Urawala
1525,Central Province,Urawela
1526,Central Province,Urugala
1527,Central Province,Urugalakadawidiya
1528,Central Province,Uruherapola
1529,Central Province,Urulemulla
1530,Central Province,Urulewatta
1531,Central Province,Ussettawa
1532,Central Province,Vetastenna
1533,Central Province,Viguhumpola
1534,Central Province,Vilana Pallegama
1535,Central Province,Vilana Udagama
1536,Central Province,Wadagolla
1537,Central Province,Wadakahamada
1538,Central Province,Wadawala
1539,Central Province,Wadawalakanda
1540,Central Province,Wademada
1541,Central Province,Wadiya
1542,Central Province,Wadiyagoda
1543,Central Province,Wahacotte
1544,Central Province,Waharakgoda
1545,Central Province,Wahugepitiya
1546,Central Province,Wahunkoho
1547,Central Province,Wahunkoha
1548,Central Province,Wahupitiya
1549,Central Province,Waikkal
1550,Central Province,Walagama
1551,Central Province,Walagedara
1552,Central Province,Walakumbura
1553,Central Province,Walakumbura
1554,Central Province,Walala
1555,Central Province,Walala Megodagammedda
1556,Central Province,Walalawela
1557,Central Province,Walaswewa
1558,Central Province,Walatalawa
1559,Central Province,Walawela
1560,Central Province,Waldeniya
1561,Central Province,Walgama
1562,Central Province,Walgampaya
1563,Central Province,Walgovuwagoda
1564,Central Province,Walgowagoda
1565,Central Province,Wallahagoda
1566,Central Province,Walliwela
1567,Central Province,Walmoruwa
1568,Central Province,Walpola
1569,Central Province,Walpoladeniya
1570,Central Province,Walpolamulla
1571,Central Province,Walugama
1572,Central Province,Wanduramulla
1573,Central Province,Wannipola
1574,Central Province,Waradiwala
1575,Central Province,Waragashinna
1576,Central Province,Warakadeniya
1577,Central Province,Warakagoda
1578,Central Province,Warakalawita
1579,Central Province,Warakamure
1580,Central Province,Warakawa
1581,Central Province,Waralaggama
1582,Central Province,Warapitiya
1583,Central Province,Wariyapola
1584,Central Province,Wataddora
1585,Central Province,Watadeniya
1586,Central Province,Watagoda
1587,Central Province,Watapana
1588,Central Province,Watapuluwa
1589,Central Province,Watawala
1590,Central Province,Wathumulla
1591,Central Province,Wattahena
1592,Central Province,Wattappola
1593,Central Province,Wattegama
1594,Central Province,Wattegammedda
1595,Central Province,Wattegedara
1596,Central Province,Wattehena
1597,Central Province,Watuliyadda
1598,Central Province,Watumulla
1599,Central Province,Watupola
1600,Central Province,Waturakumbura
1601,Central Province,Watuwala
1602,Central Province,Wavinna
1603,Central Province,Wawinna
1604,Central Province,Wayikkal
1605,Central Province,Wedagolla
1606,Central Province,Wedigammedda
1607,Central Province,Wegala
1608,Central Province,Wegama
1609,Central Province,Wegama Lower
1610,Central Province,Wegiriya
1611,Central Province,Wegodapola
1612,Central Province,Wehera
1613,Central Province,Wehigala East
1614,Central Province,Wekanda
1615,Central Province,Wekumbura
1616,Central Province,Welagama
1617,Central Province,Welaihala Udugoda
1618,Central Province,Welamboda
1619,Central Province,Welampe
1620,Central Province,Welandagoda
1621,Central Province,Welangahawatta
1622,Central Province,Welapahala
1623,Central Province,Welata
1624,Central Province,Welegedara
1625,Central Province,Welemulla
1626,Central Province,Welgahawadiya
1627,Central Province,Weligalla
1628,Central Province,Weliganwala
1629,Central Province,Weligodapola
1630,Central Province,Weliketiya
1631,Central Province,Welivitta
1632,Central Province,Weliwaranagolla
1633,Central Province,Weliwita
1634,Central Province,Weliwita Ihalagama
1635,Central Province,Weliwita Pahalagama
1636,Central Province,Wellagiriya
1637,Central Province,Wellangolla
1638,Central Province,Wellatota
1639,Central Province,Welletota Kadaweediya
1640,Central Province,Welpanala
1641,Central Province,Wepatana
1642,Central Province,Weragalawatta
1643,Central Province,Weragama
1644,Central Province,Weragamtota
1645,Central Province,Weragantota
1646,Central Province,Werakonkanda
1647,Central Province,Weralanda
1648,Central Province,Weralugastenna
1649,Central Province,Werapitiya
1650,Central Province,Werapitiya Ihalagama
1651,Central Province,Werapitiya Pahalagammedda
1652,Central Province,Werawala
1653,Central Province,Werella
1654,Central Province,Werellagama
1655,Central Province,West Watta
1656,Central Province,Wetagepota
1657,Central Province,Wetakedeniya
1658,Central Province,Wetakepotha
1659,Central Province,Wetalawa
1660,Central Province,Wetasseyaya
1661,Central Province,Weteggama
1662,Central Province,Wettehena
1663,Central Province,Wettewa
1664,Central Province,Wewagammedda
1665,Central Province,Wewakele
1666,Central Province,Wewala
1667,Central Province,Wewatenna
1668,Central Province,Wewelmada
1669,Central Province,Wewelobe
1670,Central Province,Wiguhumpola
1671,Central Province,Wijebahukanda
1672,Central Province,Wilawala
1673,Central Province,Wilgomuwa
1674,Central Province,Wilwala
1675,Central Province,Wiyanamulla
1676,Central Province,Yaggala
1677,Central Province,Yahala
1678,Central Province,Yahalatenne
1679,Central Province,Yahaletenna
1680,Central Province,Yakadagoda
1681,Central Province,Yakgahapitiya
1682,Central Province,Yakkuragala
1683,Central Province,Yalegoda
1684,Central Province,Yalkumbura
1685,Central Province,Yamanmulla
1686,Central Province,Yapagama
1687,Central Province,Yasanampura
1688,Central Province,Yatala
1689,Central Province,Yatapana
1690,Central Province,Yatawara
1691,Central Province,Yatawatta
1692,Central Province,Yatawatta
1693,Central Province,Yatigammana
1694,Central Province,Yatihalagala
1695,Central Province,Yatihalagala Pallegama
1696,Central Province,Yatimadura
1697,Central Province,Yatipiyangala
1698,Central Province,Yatirawana
1699,Central Province,Yatiwawala
1700,Central Province,Yatiwehera
1701,Central Province,Yatiwella
1702,Central Province,Yattakule
1703,Central Province,Yodagannawa
1704,Central Province,Yombuweltenna
1705,Central Province,Yompana
1706,Central Province,Yonpane
1707,Eastern Province,Addalaichenai
1708,Eastern Province,Akkaraipattu
1709,Eastern Province,Ampara
1710,Eastern Province,Batticaloa
1711,Eastern Province,Eravur
1712,Eastern Province,Kaluwanchikudy
1713,Eastern Province,Kalmunai
1714,Eastern Province,Karaitivu
1715,Eastern Province,Kattankudy
1716,Eastern Province,Maruthamunai
1717,Eastern Province,Nintavur
1718,Eastern Province,Oluvil
1719,Eastern Province,Oddamavadi
1720,Eastern Province,Pottuvil
1721,Eastern Province,Sammanthurai
1722,Eastern Province,Sainthamaruthu
1723,Eastern Province,Taigahahinna
1724,Eastern Province,Thalankudah
1725,Eastern Province,Thalavai
1726,Eastern Province,Thamaraikerni
1727,Eastern Province,Thamaravillu
1728,Eastern Province,Thambiluvil
1729,Eastern Province,Thampaddai
1730,Eastern Province,Tampalakamam
1731,Eastern Province,Thampalawattai
1732,Eastern Province,Thannamunai
1733,Eastern Province,Tannipalai
1734,Eastern Province,Tembichchiya
1735,Eastern Province,Thennamaravadi
1736,Eastern Province,Tettativu
1737,Eastern Province,Thalayadimadu
1738,Eastern Province,Thaddumunai
1739,Eastern Province,Thiaveddavan
1740,Eastern Province,Thikkodai
1741,Eastern Province,Thikkoddaimadu
1742,Eastern Province,Thikkoddaimunmari
1743,Eastern Province,Thimilatheevu
1744,Eastern Province,Thiraymadu
1745,Eastern Province,Thirukkaikuda
1746,Eastern Province,Thona
1747,Eastern Province,Thottam
1748,Eastern Province,Thukkuvittan
1749,Eastern Province,Thumpalancholai
1750,Eastern Province,Thumpankerni
1751,Eastern Province,Trincomalee
1752,Eastern Province,Udaiyamadam
1753,Eastern Province,Uhana
1754,Eastern Province,Ullapalai
1755,Eastern Province,Unagalla
1756,Eastern Province,Unapana
1757,Eastern Province,Unnichchai
1758,Eastern Province,Unuwaturabubula
1759,Eastern Province,Upparu
1760,Eastern Province,Uppodai
1761,Eastern Province,Uppukkachchimadu
1762,Eastern Province,Uppural
1763,Eastern Province,Uppuveli
1764,Eastern Province,Urani
1765,Eastern Province,Urachery
1766,Eastern Province,Uriyankaddu
1767,Eastern Province,Urukamam
1768,Eastern Province,Uthuchchenai
1769,Eastern Province,Vaddavan
1770,Eastern Province,Vettilaipoddamadu
1771,Eastern Province,Vaddipoddamadu
1772,Eastern Province,Vaikaladichchenai
1773,Eastern Province,Vaikkaladichchenai
1774,Eastern Province,Trincomalee
1775,Eastern Province,Vakaneri
1776,Eastern Province,Vakantonai
1777,Eastern Province,Vakarai
1778,Eastern Province,Valaichchenai
1779,Eastern Province,Valaichchenai
1780,Eastern Province,Ampara
1781,Eastern Province,Valaichchenai
1782,Eastern Province,Valaiyiravu
1783,Eastern Province,Valaitoddam
1784,Eastern Province,Vammivattavan
1785,Eastern Province,Vammiyadiyuttu
1786,Eastern Province,Vantharumoolai
1787,Eastern Province,Vannameddutidal
1788,Eastern Province,Vannatital
1789,Eastern Province,Vathakkalmadu
1790,Eastern Province,Vattalaikodichchenai
1791,Eastern Province,Vavunatheevu
1792,Eastern Province,Vayiriuttu
